sigma,num_sources,pop_size,occupied_sources_freq,pop_in_sources_freq,,sigma,num_sources,pop_size,occupied_sources_freq,pop_in_sources_freq
1,33,406,54,66,,1,38.74,765.28,64.54,68.56
1,35,767,60,71,,2,40.48,1449.5,78.7,78.38
1,30,620,63,60,,4,39.36,1706.82,94.26,91.6
1,44,919,61,71,,8,40.08,1610.66,88.02,98.16
1,33,703,48,60,,16,40.58,1500.68,81.82,99.86
1,49,1163,85,75,,32,38.28,1424.42,82.66,100
1,40,728,65,64,,,,,,
1,46,764,56,65,,,,,,
1,27,485,59,71,,sigma,num_sources,pop_size,occupied_sources_freq,pop_in_sources_freq
1,32,540,65,73,,1,6.38496320287289,253.043034171773,13.7041778226904,3.9854838643072
1,38,757,68,70,,2,6.94068161094354,321.124316317859,8.15725544080425,2.67939987188725
1,37,589,64,75,,4,5.98215031982477,299.237990739881,3.08921758801844,1.44278641976601
1,24,332,37,65,,8,6.04351566827232,292.363459147852,5.07691855763083,0.548095031235739
1,38,879,76,67,,16,6.49046396253608,251.10640398534,6.35895640263497,0.350509832753866
1,37,857,83,65,,32,5.92483531158359,250.274142752727,6.29418260728727,0
1,36,582,55,69,,,,,,
1,41,460,51,66,,,,,,
1,34,599,58,66,,,,,,
1,46,1143,76,77,,,,,,
1,31,249,35,67,,,,,,
1,38,681,65,67,,,,,,
1,31,386,48,68,,,,,,
1,38,1077,92,71,,,,,,
1,41,938,87,68,,,,,,
1,47,912,68,72,,,,,,
1,36,614,55,72,,,,,,
1,37,691,64,69,,,,,,
1,46,829,56,67,,,,,,
1,43,916,58,66,,,,,,
1,43,723,60,68,,,,,,
1,41,891,68,63,,,,,,
1,44,742,70,72,,,,,,
1,44,1077,70,67,,,,,,
1,44,910,77,70,,,,,,
1,33,365,36,67,,,,,,
1,39,880,84,72,,,,,,
1,37,640,62,70,,,,,,
1,39,452,46,61,,,,,,
1,30,630,70,63,,,,,,
1,34,757,79,68,,,,,,
1,33,731,66,69,,,,,,
1,47,1058,80,71,,,,,,
1,47,1276,85,75,,,,,,
1,38,803,73,74,,,,,,
1,42,952,64,66,,,,,,
1,39,1244,87,75,,,,,,
1,39,677,51,64,,,,,,
1,36,739,47,70,,,,,,
1,60,1432,78,72,,,,,,
1,40,699,62,68,,,,,,
2,30,1415,83,83,,,,,,
2,45,1419,73,81,,,,,,
2,48,1810,79,81,,,,,,
2,41,1177,80,80,,,,,,
2,41,1392,85,76,,,,,,
2,32,945,75,82,,,,,,
2,35,1543,88,78,,,,,,
2,52,1949,92,77,,,,,,
2,49,1731,83,77,,,,,,
2,45,1605,68,80,,,,,,
2,34,1179,76,73,,,,,,
2,47,1537,76,82,,,,,,
2,34,1449,76,75,,,,,,
2,46,1469,76,80,,,,,,
2,38,1408,86,73,,,,,,
2,34,1350,85,82,,,,,,
2,40,1014,72,78,,,,,,
2,38,1296,78,76,,,,,,
2,43,1712,83,78,,,,,,
2,44,1467,77,79,,,,,,
2,48,1320,72,79,,,,,,
2,33,908,63,75,,,,,,
2,40,1616,72,79,,,,,,
2,32,1054,78,76,,,,,,
2,33,856,66,82,,,,,,
2,25,719,56,75,,,,,,
2,46,1852,91,77,,,,,,
2,40,1348,72,76,,,,,,
2,48,2041,87,82,,,,,,
2,33,1217,75,79,,,,,,
2,33,1212,75,76,,,,,,
2,45,1812,82,76,,,,,,
2,44,1716,84,76,,,,,,
2,46,1750,82,78,,,,,,
2,44,1591,86,80,,,,,,
2,37,1317,70,74,,,,,,
2,54,2163,87,79,,,,,,
2,54,1701,74,78,,,,,,
2,38,1327,81,79,,,,,,
2,47,2099,89,81,,,,,,
2,37,1599,97,76,,,,,,
2,47,1458,78,76,,,,,,
2,32,1057,62,81,,,,,,
2,41,1365,82,84,,,,,,
2,34,1457,79,77,,,,,,
2,31,1449,87,78,,,,,,
2,44,1722,90,81,,,,,,
2,40,1188,72,82,,,,,,
2,50,1623,80,77,,,,,,
2,32,1071,75,79,,,,,,
4,43,1782,95,92,,,,,,
4,42,1670,97,91,,,,,,
4,38,1593,100,93,,,,,,
4,43,1694,95,93,,,,,,
4,31,1351,100,95,,,,,,
4,47,1921,91,91,,,,,,
4,40,1722,97,90,,,,,,
4,45,2110,97,93,,,,,,
4,43,2042,97,92,,,,,,
4,32,1410,96,93,,,,,,
4,39,2046,97,91,,,,,,
4,26,1129,88,92,,,,,,
4,47,2101,93,90,,,,,,
4,45,1987,95,91,,,,,,
4,41,1990,95,91,,,,,,
4,43,1864,95,88,,,,,,
4,35,1295,97,93,,,,,,
4,42,1848,95,91,,,,,,
4,45,1862,95,90,,,,,,
4,38,1516,97,93,,,,,,
4,37,1480,94,91,,,,,,
4,46,1985,93,91,,,,,,
4,34,1560,91,91,,,,,,
4,35,1438,97,93,,,,,,
4,29,1451,93,91,,,,,,
4,32,1323,93,90,,,,,,
4,37,1723,91,92,,,,,,
4,30,1394,93,93,,,,,,
4,36,1647,97,91,,,,,,
4,31,1198,87,92,,,,,,
4,29,1202,93,89,,,,,,
4,41,1776,90,90,,,,,,
4,37,1677,97,91,,,,,,
4,44,2012,97,91,,,,,,
4,39,1539,87,91,,,,,,
4,39,1512,92,90,,,,,,
4,49,2126,91,92,,,,,,
4,33,1402,90,93,,,,,,
4,38,1532,97,93,,,,,,
4,37,1709,100,93,,,,,,
4,50,1961,94,92,,,,,,
4,35,1531,97,88,,,,,,
4,42,1659,92,92,,,,,,
4,51,2710,96,90,,,,,,
4,36,1774,94,93,,,,,,
4,40,1596,92,93,,,,,,
4,38,1782,94,93,,,,,,
4,48,1941,91,94,,,,,,
4,43,1752,93,92,,,,,,
4,47,2016,95,92,,,,,,
8,51,1935,88,98,,,,,,
8,40,1498,87,99,,,,,,
8,37,1527,91,97,,,,,,
8,33,1185,87,98,,,,,,
8,39,1697,97,98,,,,,,
8,25,877,88,97,,,,,,
8,39,1631,94,99,,,,,,
8,37,1518,89,99,,,,,,
8,37,1520,86,98,,,,,,
8,49,2246,93,98,,,,,,
8,44,1727,90,98,,,,,,
8,45,1601,84,98,,,,,,
8,41,1652,87,98,,,,,,
8,35,1420,88,99,,,,,,
8,39,1443,76,97,,,,,,
8,39,1670,89,98,,,,,,
8,42,1356,78,99,,,,,,
8,44,1827,84,99,,,,,,
8,45,1808,88,98,,,,,,
8,45,1939,91,98,,,,,,
8,38,1331,81,98,,,,,,
8,40,1549,87,99,,,,,,
8,43,1629,81,98,,,,,,
8,36,1584,88,98,,,,,,
8,38,1512,86,98,,,,,,
8,42,1668,90,98,,,,,,
8,37,1350,81,99,,,,,,
8,42,1827,90,98,,,,,,
8,35,1485,94,98,,,,,,
8,46,1868,91,98,,,,,,
8,33,1486,93,98,,,,,,
8,46,2106,93,98,,,,,,
8,54,2269,92,99,,,,,,
8,31,1062,74,98,,,,,,
8,37,1422,89,98,,,,,,
8,42,1383,76,98,,,,,,
8,38,1636,89,98,,,,,,
8,41,1628,90,98,,,,,,
8,44,1726,93,98,,,,,,
8,26,1002,88,97,,,,,,
8,47,2198,97,98,,,,,,
8,35,1387,88,98,,,,,,
8,41,1891,95,99,,,,,,
8,33,1425,90,99,,,,,,
8,52,1889,84,98,,,,,,
8,40,1657,90,99,,,,,,
8,47,1857,91,98,,,,,,
8,39,1498,89,98,,,,,,
8,30,1293,90,98,,,,,,
8,45,1838,86,98,,,,,,
16,50,1952,84,99,,,,,,
16,52,1952,75,100,,,,,,
16,33,1228,75,100,,,,,,
16,39,1558,89,100,,,,,,
16,45,1539,82,99,,,,,,
16,42,1392,66,100,,,,,,
16,36,1418,91,100,,,,,,
16,49,1675,73,100,,,,,,
16,31,1262,87,100,,,,,,
16,47,1759,80,100,,,,,,
16,36,1401,80,100,,,,,,
16,39,1425,82,100,,,,,,
16,41,1563,82,99,,,,,,
16,43,1479,83,100,,,,,,
16,30,1152,83,100,,,,,,
16,40,1508,85,100,,,,,,
16,32,1381,87,99,,,,,,
16,37,1215,75,100,,,,,,
16,47,2045,91,100,,,,,,
16,39,1292,71,100,,,,,,
16,40,1581,82,100,,,,,,
16,44,1625,86,100,,,,,,
16,49,1486,73,100,,,,,,
16,30,1032,76,100,,,,,,
16,41,1526,87,100,,,,,,
16,43,1377,79,100,,,,,,
16,39,1400,79,100,,,,,,
16,42,1300,73,100,,,,,,
16,43,1671,93,100,,,,,,
16,49,2016,85,100,,,,,,
16,46,1867,89,100,,,,,,
16,46,1646,78,100,,,,,,
16,38,1605,94,100,,,,,,
16,31,1270,83,100,,,,,,
16,42,1443,76,99,,,,,,
16,43,1559,79,100,,,,,,
16,42,1613,88,100,,,,,,
16,34,1284,91,100,,,,,,
16,36,1256,75,100,,,,,,
16,40,1315,82,100,,,,,,
16,31,1049,83,100,,,,,,
16,32,1235,78,99,,,,,,
16,51,1715,76,100,,,,,,
16,49,1898,81,100,,,,,,
16,55,1967,85,100,,,,,,
16,40,1260,77,100,,,,,,
16,30,1327,93,99,,,,,,
16,44,1744,86,100,,,,,,
16,32,1403,87,100,,,,,,
16,39,1368,76,100,,,,,,
32,47,1738,85,100,,,,,,
32,42,1635,88,100,,,,,,
32,46,1662,73,100,,,,,,
32,46,1543,76,100,,,,,,
32,33,1492,90,100,,,,,,
32,34,1251,85,100,,,,,,
32,32,1318,84,100,,,,,,
32,38,1289,86,100,,,,,,
32,32,879,68,100,,,,,,
32,46,2040,91,100,,,,,,
32,32,1215,78,100,,,,,,
32,32,1288,90,100,,,,,,
32,36,1250,69,100,,,,,,
32,31,1118,77,100,,,,,,
32,41,1662,85,100,,,,,,
32,43,1532,81,100,,,,,,
32,39,1490,82,100,,,,,,
32,33,1023,72,100,,,,,,
32,29,1284,96,100,,,,,,
32,44,1522,79,100,,,,,,
32,38,1277,81,100,,,,,,
32,30,1013,86,100,,,,,,
32,29,1147,86,100,,,,,,
32,41,1527,78,100,,,,,,
32,44,1660,75,100,,,,,,
32,43,1605,86,100,,,,,,
32,42,1741,88,100,,,,,,
32,40,1368,80,100,,,,,,
32,49,1794,83,100,,,,,,
32,38,1456,86,100,,,,,,
32,50,2002,86,100,,,,,,
32,45,1491,73,100,,,,,,
32,33,1093,78,100,,,,,,
32,40,1737,92,100,,,,,,
32,34,1202,91,100,,,,,,
32,38,1372,84,100,,,,,,
32,34,1380,85,100,,,,,,
32,26,1151,88,100,,,,,,
32,34,1159,79,100,,,,,,
32,27,1146,88,100,,,,,,
32,43,1650,88,100,,,,,,
32,46,1715,86,100,,,,,,
32,40,1515,87,100,,,,,,
32,37,1365,83,100,,,,,,
32,43,1501,72,100,,,,,,
32,38,1259,76,100,,,,,,
32,37,1217,81,100,,,,,,
32,40,1484,90,100,,,,,,
32,39,1447,82,100,,,,,,
32,40,1516,80,100,,,,,,
